datetime_local,co2_eq_kg_per_MWh
2024-07-31 00:00:00,395.532224
2024-07-31 01:00:00,415.03668
2024-07-31 02:00:00,424.10852
2024-07-31 03:00:00,427.737256
2024-07-31 04:00:00,425.015704
2024-07-31 05:00:00,410.50076
2024-07-31 06:00:00,393.264264
2024-07-31 07:00:00,366.955928
2024-07-31 08:00:00,355.616128
2024-07-31 09:00:00,351.987392
2024-07-31 10:00:00,350.626616
2024-07-31 11:00:00,352.440984
2024-07-31 12:00:00,353.348168
2024-07-31 13:00:00,346.99788
2024-07-31 14:00:00,339.740408
2024-07-31 15:00:00,337.018856
2024-07-31 16:00:00,337.92604
2024-07-31 17:00:00,346.99788
2024-07-31 18:00:00,357.430496
2024-07-31 19:00:00,359.698456
2024-07-31 20:00:00,360.152048
2024-07-31 21:00:00,362.420008
2024-07-31 22:00:00,369.223888
2024-07-31 23:00:00,375.574176
2024-08-01 00:00:00,414.583088
2024-08-01 01:00:00,433.18036
2024-08-01 02:00:00,439.98424
2024-08-01 03:00:00,443.612976
2024-08-01 04:00:00,443.159384
2024-08-01 05:00:00,419.119008
2024-08-01 06:00:00,405.96484
2024-08-01 07:00:00,378.295728
2024-08-01 08:00:00,366.955928
2024-08-01 09:00:00,364.234376
2024-08-01 10:00:00,362.420008
2024-08-01 11:00:00,364.234376
2024-08-01 12:00:00,364.234376
2024-08-01 13:00:00,355.162536
2024-08-01 14:00:00,347.451472
2024-08-01 15:00:00,345.637104
2024-08-01 16:00:00,346.99788
2024-08-01 17:00:00,358.791272
2024-08-01 18:00:00,365.595152
2024-08-01 19:00:00,366.048744
2024-08-01 20:00:00,369.223888
2024-08-01 21:00:00,376.934952
2024-08-01 22:00:00,385.099608
2024-08-01 23:00:00,393.264264
2024-08-02 00:00:00,414.583088
